,mic,index_name,index_trading_symbol,index_isin,trading_symbol,data_provider,trading_symbol_wtd,trading_symbol_av,instrument,isin,sector,sub_sector,market_cap._in_mio._last_regular_rebalancing,weight_last_regular_rebalancing
0,XFRA,DAX,DAX,DE0008469008,ADS,WTD,ADS.DE,ADS.DEX,ADIDAS AG NA O.N.,,,,,
1,XFRA,DAX,DAX,DE0008469008,ALV,WTD,ALV.DE,ALV.DEX,ALLIANZ SE NA O.N.,,,,,
2,XFRA,DAX,DAX,DE0008469008,BAS,WTD,BAS.DE,BAS.DEX,BASF SE NA O.N.,,,,,
3,XFRA,DAX,DAX,DE0008469008,BMW,WTD,BMW.DE,BMW.DEX,BAY.MOTOREN WERKE AG ST,,,,,
4,XFRA,DAX,DAX,DE0008469008,BAYN,WTD,BAYN.DE,BAYN.DEX,BAYER AG NA O.N.,,,,,
5,XFRA,DAX,DAX,DE0008469008,BEI,WTD,BEI.DE,BEI.DEX,BEIERSDORF AG O.N.,,,,,
6,XFRA,DAX,DAX,DE0008469008,CON,WTD,CON.DE,CON.DEX,CONTINENTAL AG O.N.,,,,,
7,XFRA,DAX,DAX,DE0008469008,1COV,WTD,1COV.DE,1COV.DEX,COVESTRO AG  O.N.,,,,,
8,XFRA,DAX,DAX,DE0008469008,DAI,WTD,DAI.DE,DAI.DEX,DAIMLER AG NA O.N.,,,,,
9,XFRA,DAX,DAX,DE0008469008,DBK,WTD,DBK.DE,DBK.DEX,DEUTSCHE BANK AG NA O.N.,,,,,
10,XFRA,DAX,DAX,DE0008469008,DB1,WTD,DB1.DE,DB1.DEX,DEUTSCHE BOERSE NA O.N.,,,,,
11,XFRA,DAX,DAX,DE0008469008,DPW,WTD,DPW.DE,DPW.DEX,DEUTSCHE POST AG NA O.N.,,,,,
12,XFRA,DAX,DAX,DE0008469008,DTE,WTD,DTE.DE,DTE.DEX,DT.TELEKOM AG NA,,,,,
13,XFRA,DAX,DAX,DE0008469008,EOAN,WTD,EOAN.DE,EOAN.DEX,E.ON SE NA O.N.,,,,,
14,XFRA,DAX,DAX,DE0008469008,FME,WTD,FME.DE,FME.DEX,FRESEN.MED.CARE KGAA O.N.,,,,,
15,XFRA,DAX,DAX,DE0008469008,FRE,WTD,FRE.DE,FRE.DEX,FRESENIUS SE+CO.KGAA O.N.,,,,,
16,XFRA,DAX,DAX,DE0008469008,HEI,WTD,HEI.DE,HEI.DEX,HEIDELBERGCEMENT AG O.N.,,,,,
17,XFRA,DAX,DAX,DE0008469008,HEN3,WTD,HEN3.DE,HEN3.DEX,HENKEL AG+CO.KGAA VZO,,,,,
